sh-5.3$ python dcgan.py
[16/25][250/321] lossD=0.3480 lossG=3.7701
[16/25][300/321] lossD=0.5810 lossG=2.9837
[17/25][0/321] lossD=0.2728 lossG=3.3786
[17/25][50/321] lossD=0.4835 lossG=2.3851
[17/25][100/321] lossD=0.4169 lossG=2.9346
[17/25][150/321] lossD=0.6120 lossG=4.2402
[17/25][200/321] lossD=0.5774 lossG=2.8660
[17/25][250/321] lossD=0.5362 lossG=1.0643
[17/25][300/321] lossD=0.3367 lossG=3.0147
[18/25][0/321] lossD=0.7384 lossG=5.4191
[18/25][50/321] lossD=0.5887 lossG=4.3803
[18/25][100/321] lossD=0.5327 lossG=2.9402
[18/25][150/321] lossD=0.8224 lossG=4.7038
[18/25][200/321] lossD=0.4450 lossG=3.8242
[18/25][250/321] lossD=0.2631 lossG=3.4963
[18/25][300/321] lossD=1.4957 lossG=4.9449
[19/25][0/321] lossD=0.8171 lossG=3.7747
[19/25][50/321] lossD=0.8312 lossG=2.0371
[19/25][100/321] lossD=0.3473 lossG=3.0751
[19/25][150/321] lossD=0.8056 lossG=0.8440
[19/25][200/321] lossD=2.0926 lossG=1.0751
[19/25][250/321] lossD=0.6975 lossG=3.2969
[19/25][300/321] lossD=0.5072 lossG=2.0630
[20/25][0/321] lossD=0.3638 lossG=3.4961
[20/25][50/321] lossD=0.4233 lossG=2.2983
[20/25][100/321] lossD=0.8727 lossG=5.6266
[20/25][150/321] lossD=0.4477 lossG=4.4394
[20/25][200/321] lossD=1.4757 lossG=7.3426
[20/25][250/321] lossD=0.8677 lossG=3.6154
[20/25][300/321] lossD=0.4151 lossG=3.2965
[21/25][0/321] lossD=0.6241 lossG=3.3997
[21/25][50/321] lossD=0.5775 lossG=2.3782
[21/25][100/321] lossD=0.8072 lossG=5.5910
[21/25][150/321] lossD=0.3694 lossG=3.5095
[21/25][200/321] lossD=0.5909 lossG=4.1712
[21/25][250/321] lossD=0.4571 lossG=3.2504
[21/25][300/321] lossD=0.2871 lossG=3.5908
[22/25][0/321] lossD=0.3219 lossG=3.2838
[22/25][50/321] lossD=0.4659 lossG=2.1549
[22/25][100/321] lossD=0.4260 lossG=2.5711
[22/25][150/321] lossD=1.1708 lossG=0.9688
[22/25][200/321] lossD=0.3129 lossG=2.6175
[22/25][250/321] lossD=0.4490 lossG=2.4685
[22/25][300/321] lossD=0.3246 lossG=2.9372
[23/25][0/321] lossD=0.5288 lossG=1.8019
[23/25][50/321] lossD=0.6228 lossG=5.0740
[23/25][100/321] lossD=0.2453 lossG=3.2336
[23/25][150/321] lossD=0.3496 lossG=2.6059
[23/25][200/321] lossD=0.3982 lossG=2.8866
[23/25][250/321] lossD=2.1441 lossG=0.8991
[23/25][300/321] lossD=0.3859 lossG=3.0016
[24/25][0/321] lossD=0.5659 lossG=3.9175
[24/25][50/321] lossD=0.8188 lossG=2.3144
[24/25][100/321] lossD=0.4950 lossG=2.7002
[24/25][150/321] lossD=0.4514 lossG=2.5039
[24/25][200/321] lossD=0.4941 lossG=4.2709
[24/25][250/321] lossD=0.6445 lossG=2.2363
[24/25][300/321] lossD=0.6465 lossG=4.4242
Training done.
